Step,episode_reward
1000,-310.6306844546173
2000,-478.58497657249933
3000,-232.83401906761384
4000,-200.27379939861697
5000,-381.91286852456136
6000,-388.13971800151927
7000,-210.3232629963046
8000,-150.37319558408953
9000,-119.56553743140317
10000,-36.38856146848291
11000,-168.23008098825915
12000,-365.25675627851257
13000,-361.8609777107799
14000,-33.94952661015375
15000,-214.00477893999846
16000,-293.85832702442474
17000,-547.8491765782514
18000,-151.11033278571077
19000,-246.8973510428068
20000,-432.45927857809403
21000,-524.1387649127039
22000,-658.1312432321776
23000,-367.4744022668591
24000,-455.9056878116753
25000,-440.5574072369723
26000,-369.5567187484128
27000,-284.62355900801265
28000,-118.04967985276723
29000,-51.024167847652556
